date,dayl(s),prcp(mm/day),srad(W/m2),swe(mm),tmax(C),tmin(C),vp(Pa),OT
2001-01-01,30416.89,2.0933333333333333,176.87,36.18,-5.34,-15.07,190.99,293
2001-01-02,30492.06,2.4366666666666665,186.16,36.18,-3.65,-14.32,200.0,296
2001-01-03,30638.04,2.78,133.1,38.69,-3.28,-11.77,250.09,296
2001-01-04,30757.79,2.21,144.79,41.18,-2.09,-9.61,287.7,297
2001-01-05,30758.4,4.02,105.59,44.75,0.55,-6.17,385.5,297
2001-01-06,30758.4,3.16,131.33,48.1,-1.53,-10.39,276.76,298
2001-01-07,30837.66,4.6,93.91,52.84,-6.1,-11.65,251.12,301
2001-01-08,31050.43,0.61,187.13,53.37,-8.03,-18.17,146.48,302
2001-01-09,31104.0,0.93,225.27,53.37,-2.48,-19.38,132.77,304
2001-01-10,31104.0,1.25,198.77,53.37,1.94,-8.92,311.18,302
2001-01-11,31183.26,1.5699999999999998,196.91,53.37,3.34,-7.21,358.28,301
2001-01-12,31396.03,1.89,187.47,53.37,1.2,-8.15,328.68,302
2001-01-13,31449.6,2.21,108.7,51.93,1.57,-3.44,476.46,304
2001-01-14,31449.6,4.875,82.87,50.76,1.58,-1.8,540.41,305
2001-01-15,31674.84,7.54,88.48,49.68,1.27,-3.64,467.24,310
2001-01-16,31795.2,5.56,129.23,55.16,0.24,-7.4,350.29,310
2001-01-17,31795.2,2.84,131.96,57.99,-4.34,-10.86,273.56,316
2001-01-18,32020.44,2.87,134.56,57.99,-3.52,-8.87,307.75,321
2001-01-19,32140.8,2.9,175.9,60.83,-4.11,-13.88,206.64,323
2001-01-20,32140.8,2.37,239.52,60.83,-4.9,-17.77,159.77,326
2001-01-21,32432.83,1.84,194.52,60.83,-3.57,-11.79,248.84,321
2001-01-22,32486.4,1.31,231.62,60.83,-1.27,-12.46,237.22,323
2001-01-23,32516.82,0.78,151.23,60.78,0.49,-5.32,415.57,321
2001-01-24,32831.39,1.04,177.06,61.81,0.1,-6.83,363.94,321
2001-01-25,32832.0,0.65,225.45,62.48,-2.06,-11.85,246.55,325
2001-01-26,33057.24,1.6099999999999999,215.86,62.48,-0.4,-9.31,296.84,324
2001-01-27,33177.6,2.57,203.76,65.06,-2.57,-12.66,233.2,323
2001-01-28,33208.03,4.566666666666666,201.57,65.06,-2.51,-10.13,280.0,325
2001-01-29,33523.2,6.5633333333333335,217.93,65.05,1.5,-7.08,358.31,326
2001-01-30,33523.2,8.56,128.29,64.98,1.04,-5.01,424.28,335
2001-01-31,33868.19,5.0,141.95,69.86,-0.54,-7.14,355.97,341
2001-02-01,33868.8,2.0,168.97,71.96,-1.71,-7.24,356.9,347
2001-02-02,34160.83,2.23,239.39,74.11,-4.18,-13.91,200.0,351
2001-02-03,34214.4,1.0,267.52,75.13,-6.63,-17.08,160.0,358
2001-02-04,34439.64,2.95,159.87,78.04,-3.07,-9.99,282.09,360
2001-02-05,34560.0,1.78,120.03,78.3,-2.0,-5.54,406.71,360
2001-02-06,34708.07,0.27,198.06,78.52,-1.91,-8.08,330.38,361
2001-02-07,34905.6,3.16,127.45,81.69,-1.97,-6.87,357.7,361
2001-02-08,35053.67,4.61,141.94,86.2,-2.2,-7.47,350.67,360
2001-02-09,35251.2,13.6,164.3,99.84,-0.53,-6.65,364.98,361
2001-02-10,35399.27,7.63,223.28,107.44,-4.09,-13.6,211.67,360
2001-02-11,35596.8,2.36,238.32,109.93,-8.46,-15.92,178.43,361
2001-02-12,35822.04,2.26,281.27,112.11,-4.52,-14.33,200.0,362
2001-02-13,35942.4,0.71,278.91,112.86,-2.34,-10.37,278.27,364
2001-02-14,36234.43,0.06,236.93,112.92,-1.93,-8.22,324.33,364
2001-02-15,36288.0,0.32,365.04,112.92,-3.94,-19.87,120.64,369
2001-02-16,36621.37,0.58,334.74,113.51,-4.29,-16.58,160.0,370
2001-02-17,36633.6,2.82,264.72,116.25,-5.92,-16.1,174.05,368
2001-02-18,36979.2,1.76,287.86,118.05,-6.37,-16.07,172.63,365
2001-02-19,36979.2,8.56,249.4,126.62,-1.9,-11.9,246.92,363
2001-02-20,37324.8,4.37,303.41,130.99,-2.08,-12.98,231.96,360
2001-02-21,37324.8,7.7,257.74,138.72,-7.58,-17.43,159.12,361
2001-02-22,37670.4,3.41,294.72,142.13,-7.8,-20.85,120.0,355
2001-02-23,37700.82,3.19,199.72,145.24,-6.48,-13.02,238.29,349
2001-02-24,38016.0,3.04,314.12,148.35,-3.86,-16.14,164.54,344
2001-02-25,38241.24,16.45,257.74,152.07,3.88,-5.63,400.2,361
2001-02-26,38361.6,4.37,241.51,156.47,0.41,-7.79,339.04,389
2001-02-27,38707.2,5.3,273.11,161.74,-3.9,-13.61,209.94,415
2001-02-28,38707.2,4.21,293.61,165.98,-5.67,-15.57,188.87,437
2001-03-01,39052.8,3.5,398.55,165.98,-1.91,-13.28,221.78,457
2001-03-02,39052.8,2.79,375.72,165.98,-0.09,-10.13,279.07,474
2001-03-03,39398.4,2.08,280.02,168.1,0.31,-7.34,353.93,488
2001-03-04,39546.46,3.31,321.78,171.41,-1.54,-13.94,204.18,500
2001-03-05,39744.0,3.41,231.65,174.75,-4.41,-11.4,252.2,507
2001-03-06,40089.6,2.9966666666666666,247.23,174.75,-1.74,-7.04,359.78,514
2001-03-07,40089.6,2.583333333333333,354.18,174.75,1.03,-7.39,347.77,520
2001-03-08,40435.2,2.17,331.07,175.48,2.51,-5.76,395.4,524
2001-03-09,40435.2,2.7266666666666666,333.86,175.48,0.4,-7.19,358.32,525
2001-03-10,40780.8,3.283333333333333,470.29,175.48,2.21,-12.38,239.98,528
2001-03-11,41125.79,3.84,336.27,179.36,1.07,-11.49,252.78,525
2001-03-12,41126.4,0.28,464.2,179.63,-3.81,-17.78,158.55,524
2001-03-13,41472.0,5.97,246.97,185.57,0.47,-6.99,358.87,524
2001-03-14,41472.0,0.6,288.43,184.42,3.61,-3.0,480.0,510
2001-03-15,41817.6,0.716,410.68,184.42,3.65,-6.33,376.83,497
2001-03-16,41821.69,0.832,445.28,184.42,1.37,-10.07,281.36,491
2001-03-17,42163.2,0.948,479.8,184.42,2.75,-10.28,279.2,488
2001-03-18,42508.8,1.064,527.61,184.42,6.01,-11.94,240.0,484
2001-03-19,42508.8,1.1800000000000002,510.52,184.42,7.23,-8.33,319.47,485
2001-03-20,42854.4,1.296,505.96,184.42,8.5,-6.56,366.77,494
2001-03-21,42854.4,1.412,463.04,183.46,8.24,-3.89,450.85,512
2001-03-22,43200.0,1.528,529.37,183.46,8.95,-7.98,328.74,544
2001-03-23,43545.6,1.6440000000000001,454.04,182.45,8.1,-3.51,479.54,591
2001-03-24,43545.6,1.76,429.04,184.15,2.19,-8.29,319.92,638
2001-03-25,43891.2,3.07,267.87,187.25,-5.61,-12.99,231.14,664
2001-03-26,43891.2,2.44,357.11,189.71,-3.5,-13.12,226.8,675
2001-03-27,44236.8,3.254545454545455,327.08,189.71,-1.04,-7.75,340.13,683
2001-03-28,44578.31,4.069090909090909,508.26,189.71,4.0,-8.88,311.94,693
2001-03-29,44582.4,4.883636363636364,430.28,188.46,6.5,-3.21,480.0,698
2001-03-30,44928.0,5.698181818181818,444.08,187.38,6.84,-3.25,479.37,712
2001-03-31,44928.0,6.512727272727273,517.34,187.34,7.07,-6.01,389.4,739
2001-04-01,45273.6,7.327272727272727,435.52,185.69,7.5,-2.19,520.0,776
2001-04-02,45274.21,8.141818181818183,440.62,184.16,7.35,-2.49,510.27,831
2001-04-03,45619.2,8.956363636363637,425.31,182.84,6.67,-2.5,518.42,899
2001-04-04,45964.8,9.770909090909091,530.81,182.14,8.95,-4.52,438.04,997
2001-04-05,45964.8,10.585454545454546,457.8,180.0,9.49,-0.99,565.68,1150
2001-04-06,46310.4,11.4,234.7,177.12,7.22,0.84,640.0,1360
2001-04-07,46310.4,7.72,218.96,174.75,5.67,-0.15,602.66,1640
2001-04-08,46656.0,4.59,211.5,171.4,7.49,1.9,711.32,2030
2001-04-09,46853.54,5.16,416.79,169.67,6.58,-2.0,524.41,2440
2001-04-10,47001.6,5.73,434.59,168.0,7.1,-1.85,535.58,2830
2001-04-11,47347.2,6.3,321.47,165.5,8.0,-0.18,601.92,3210
2001-04-12,47347.2,20.84,272.06,161.79,9.8,2.75,740.84,3910
2001-04-13,47692.8,3.92,333.25,159.57,8.68,-0.4,594.57,4600
2001-04-14,47692.8,0.71,490.03,157.67,8.72,-1.73,542.14,5030
2001-04-15,48038.4,4.005,546.81,156.13,10.46,-2.3,515.62,5230
2001-04-16,48158.76,7.3,373.14,154.74,7.92,-2.57,510.38,5290
2001-04-17,48384.0,6.834,428.16,154.12,3.5,-4.54,439.06,5180
2001-04-18,48699.18,6.367999999999999,542.53,153.56,6.69,-4.8,435.79,5100
2001-04-19,48729.6,5.901999999999999,605.39,152.6,11.65,-3.65,467.1,4970
2001-04-20,49075.2,5.436,574.78,150.01,13.66,0.19,613.45,4810
2001-04-21,49075.2,4.97,363.57,145.47,14.57,4.85,868.04,4680
2001-04-22,49420.8,2.32,546.99,143.08,16.29,-0.35,588.94,4560
2001-04-23,49420.8,4.69,453.04,139.62,18.37,2.16,714.78,4460
2001-04-24,49766.4,1.49,606.34,137.21,17.69,-0.18,592.49,4270
2001-04-25,49778.63,1.48,601.42,135.1,14.6,-1.07,561.53,4090
2001-04-26,50112.0,1.47,493.16,130.53,16.05,5.0,879.09,3870
2001-04-27,50165.57,2.3433333333333333,607.35,128.48,15.29,-1.15,555.03,3580
2001-04-28,50457.6,3.216666666666667,618.23,127.62,13.08,-4.08,448.74,3350
2001-04-29,50577.96,4.09,416.13,124.68,14.48,1.07,649.35,3110
2001-04-30,50803.2,3.2249999999999996,583.28,119.77,21.75,5.61,881.59,2900
2001-05-01,51000.73,2.36,471.82,113.28,22.7,9.7,1194.13,2650
2001-05-02,51148.8,3.3,362.52,106.35,20.65,10.49,1278.29,2420
2001-05-03,51346.33,10.91,353.31,99.89,20.15,9.09,1167.53,2210
2001-05-04,51494.4,0.5,457.27,94.86,16.54,6.02,926.69,2020
2001-05-05,51691.93,1.8066666666666666,607.53,92.68,16.96,-0.73,566.82,1880
2001-05-06,51840.0,3.1133333333333333,559.19,88.5,18.85,3.85,788.32,1740
2001-05-07,51960.36,4.42,378.98,82.34,18.51,9.01,1160.6,1600
2001-05-08,52185.6,10.17,395.02,77.58,19.27,5.35,907.8,1520
2001-05-09,52239.17,8.27,595.75,74.43,20.13,1.58,657.22,1410
2001-05-10,52531.2,6.37,388.98,68.93,21.01,6.73,978.65,1300
2001-05-11,52531.81,10.26,394.11,64.94,17.97,3.51,786.92,1230
2001-05-12,52876.8,8.645,461.01,62.66,10.96,-0.45,592.21,1180
2001-05-13,52876.8,7.029999999999999,521.82,59.83,14.86,0.64,639.98,1140
2001-05-14,53191.97,5.414999999999999,544.12,56.52,17.44,1.7,679.98,1070
2001-05-15,53222.4,3.8,369.08,51.96,17.6,4.98,875.59,995
2001-05-16,53342.76,18.86,212.45,45.78,15.75,8.97,1157.78,1010
2001-05-17,53568.0,1.12,471.52,40.55,20.04,6.19,944.09,1130
2001-05-18,53568.61,4.52,472.31,35.47,22.11,5.96,925.31,1190
2001-05-19,53883.18,6.16,556.52,31.36,21.58,3.86,789.75,1230
2001-05-20,53913.6,7.8,550.32,26.29,24.59,6.49,932.97,1220
2001-05-21,53967.17,9.44,445.36,19.54,23.49,10.46,1271.21,1160
2001-05-22,54259.2,11.08,239.49,14.39,16.82,8.5,1120.37,1150
2001-05-23,54259.2,8.09,417.39,11.34,15.95,4.54,842.97,1090
2001-05-24,54379.56,5.1,332.17,8.28,18.34,6.08,930.18,1020
2001-05-25,54604.8,21.58,255.02,5.43,18.34,9.19,1175.0,1010
2001-05-26,54604.8,3.43,245.43,3.51,16.03,7.51,1040.45,1030
2001-05-27,54725.16,0.47,381.99,2.31,15.65,5.34,901.2,1030
2001-05-28,54950.4,1.788,435.18,1.32,18.44,5.88,921.63,1000
2001-05-29,54950.4,3.106,438.62,0.79,16.29,3.73,796.04,948
2001-05-30,55003.96,4.4239999999999995,454.7,0.53,13.53,0.5,629.26,888
2001-05-31,55216.74,5.741999999999999,522.23,0.36,17.18,-0.64,581.33,814
2001-06-01,55296.0,7.06,322.64,0.14,17.72,5.08,886.7,720
2001-06-02,55296.0,8.47,134.08,0.05,9.69,5.37,904.2,683
